Region.Label,Area,repeats,Sample.Label,Effort,distance,species,visit
Montrave,33.2,2,1,0.208,75,c,1
Montrave,33.2,2,1,0.208,40,c,1
Montrave,33.2,2,1,0.208,42,c,1
Montrave,33.2,2,1,0.208,12,r,1
Montrave,33.2,2,1,0.208,15,w,1
Montrave,33.2,2,1,0.208,80,w,1
Montrave,33.2,2,1,0.208,35,w,1
Montrave,33.2,2,1,0.208,55,w,1
Montrave,33.2,2,1,0.208,55,c,2
Montrave,33.2,2,1,0.208,26,r,2
Montrave,33.2,2,1,0.208,70,r,2
Montrave,33.2,2,1,0.208,12,w,2
Montrave,33.2,2,1,0.208,75,w,2
Montrave,33.2,2,1,0.208,23,w,2
Montrave,33.2,2,1,0.208,70,w,2
Montrave,33.2,2,1,0.208,75,w,2
Montrave,33.2,2,1,0.208,56,w,2
Montrave,33.2,2,2,0.401,8,c,1
Montrave,33.2,2,2,0.401,5,c,1
Montrave,33.2,2,2,0.401,40,c,1
Montrave,33.2,2,2,0.401,20,g,1
Montrave,33.2,2,2,0.401,5,r,1
Montrave,33.2,2,2,0.401,24,r,1
Montrave,33.2,2,2,0.401,20,r,1
Montrave,33.2,2,2,0.401,20,w,1
Montrave,33.2,2,2,0.401,24,w,1
Montrave,33.2,2,2,0.401,10,w,1
Montrave,33.2,2,2,0.401,60,w,1
Montrave,33.2,2,2,0.401,65,w,1
Montrave,33.2,2,2,0.401,0,w,1
Montrave,33.2,2,2,0.401,0,c,2
Montrave,33.2,2,2,0.401,35,c,2
Montrave,33.2,2,2,0.401,28,c,2
Montrave,33.2,2,2,0.401,60,c,2
Montrave,33.2,2,2,0.401,19,g,2
Montrave,33.2,2,2,0.401,5,r,2
Montrave,33.2,2,2,0.401,30,r,2
Montrave,33.2,2,2,0.401,45,r,2
Montrave,33.2,2,2,0.401,53,r,2
Montrave,33.2,2,2,0.401,50,r,2
Montrave,33.2,2,2,0.401,40,w,2
Montrave,33.2,2,2,0.401,32,w,2
Montrave,33.2,2,2,0.401,20,w,2
Montrave,33.2,2,2,0.401,60,w,2
Montrave,33.2,2,2,0.401,40,w,2
Montrave,33.2,2,3,0.401,8,c,1
Montrave,33.2,2,3,0.401,34,c,1
Montrave,33.2,2,3,0.401,55,c,1
Montrave,33.2,2,3,0.401,60,c,1
Montrave,33.2,2,3,0.401,55,g,1
Montrave,33.2,2,3,0.401,28,r,1
Montrave,33.2,2,3,0.401,27,r,1
Montrave,33.2,2,3,0.401,5,r,1
Montrave,33.2,2,3,0.401,22,r,1
Montrave,33.2,2,3,0.401,40,r,1
Montrave,33.2,2,3,0.401,33,w,1
Montrave,33.2,2,3,0.401,5,w,1
Montrave,33.2,2,3,0.401,35,w,1
Montrave,33.2,2,3,0.401,15,w,1
Montrave,33.2,2,3,0.401,70,w,1
Montrave,33.2,2,3,0.401,5,w,1
Montrave,33.2,2,3,0.401,5,c,2
Montrave,33.2,2,3,0.401,15,c,2
Montrave,33.2,2,3,0.401,80,c,2
Montrave,33.2,2,3,0.401,25,g,2
Montrave,33.2,2,3,0.401,25,g,2
Montrave,33.2,2,3,0.401,5,r,2
Montrave,33.2,2,3,0.401,32,r,2
Montrave,33.2,2,3,0.401,15,r,2
Montrave,33.2,2,3,0.401,0,r,2
Montrave,33.2,2,3,0.401,20,r,2
Montrave,33.2,2,3,0.401,60,r,2
Montrave,33.2,2,3,0.401,48,w,2
Montrave,33.2,2,3,0.401,32,w,2
Montrave,33.2,2,3,0.401,0,w,2
Montrave,33.2,2,3,0.401,33,w,2
Montrave,33.2,2,3,0.401,20,w,2
Montrave,33.2,2,3,0.401,35,w,2
Montrave,33.2,2,4,0.299,45,c,1
Montrave,33.2,2,4,0.299,10,c,1
Montrave,33.2,2,4,0.299,15,c,1
Montrave,33.2,2,4,0.299,85,g,1
Montrave,33.2,2,4,0.299,60,g,1
Montrave,33.2,2,4,0.299,30,g,1
Montrave,33.2,2,4,0.299,72,r,1
Montrave,33.2,2,4,0.299,35,r,1
Montrave,33.2,2,4,0.299,5,w,1
Montrave,33.2,2,4,0.299,80,w,1
Montrave,33.2,2,4,0.299,80,w,1
Montrave,33.2,2,4,0.299,55,w,1
Montrave,33.2,2,4,0.299,12,c,2
Montrave,33.2,2,4,0.299,78,c,2
Montrave,33.2,2,4,0.299,8,g,2
Montrave,33.2,2,4,0.299,22,g,2
Montrave,33.2,2,4,0.299,100,r,2
Montrave,33.2,2,4,0.299,75,r,2
Montrave,33.2,2,4,0.299,15,r,2
Montrave,33.2,2,4,0.299,70,w,2
Montrave,33.2,2,4,0.299,75,w,2
Montrave,33.2,2,4,0.299,22,w,2
Montrave,33.2,2,4,0.299,85,w,2
Montrave,33.2,2,4,0.299,75,w,2
Montrave,33.2,2,4,0.299,35,w,2
Montrave,33.2,2,4,0.299,40,w,2
Montrave,33.2,2,5,0.35,80,c,1
Montrave,33.2,2,5,0.35,15,c,1
Montrave,33.2,2,5,0.35,30,c,1
Montrave,33.2,2,5,0.35,25,c,1
Montrave,33.2,2,5,0.35,45,c,1
Montrave,33.2,2,5,0.35,8,g,1
Montrave,33.2,2,5,0.35,22,r,1
Montrave,33.2,2,5,0.35,35,r,1
Montrave,33.2,2,5,0.35,33,r,1
Montrave,33.2,2,5,0.35,15,r,1
Montrave,33.2,2,5,0.35,35,w,1
Montrave,33.2,2,5,0.35,10,w,1
Montrave,33.2,2,5,0.35,70,w,1
Montrave,33.2,2,5,0.35,70,w,1
Montrave,33.2,2,5,0.35,75,w,1
Montrave,33.2,2,5,0.35,55,c,2
Montrave,33.2,2,5,0.35,4,c,2
Montrave,33.2,2,5,0.35,8,c,2
Montrave,33.2,2,5,0.35,33,c,2
Montrave,33.2,2,5,0.35,50,g,2
Montrave,33.2,2,5,0.35,85,g,2
Montrave,33.2,2,5,0.35,95,g,2
Montrave,33.2,2,5,0.35,35,g,2
Montrave,33.2,2,5,0.35,21,r,2
Montrave,33.2,2,5,0.35,45,r,2
Montrave,33.2,2,5,0.35,28,r,2
Montrave,33.2,2,5,0.35,60,r,2
Montrave,33.2,2,5,0.35,60,w,2
Montrave,33.2,2,5,0.35,30,w,2
Montrave,33.2,2,5,0.35,25,w,2
Montrave,33.2,2,5,0.35,80,w,2
Montrave,33.2,2,5,0.35,80,w,2
Montrave,33.2,2,5,0.35,40,w,2
Montrave,33.2,2,5,0.35,85,w,2
Montrave,33.2,2,5,0.35,55,w,2
Montrave,33.2,2,5,0.35,65,w,2
Montrave,33.2,2,6,0.401,12,c,1
Montrave,33.2,2,6,0.401,45,c,1
Montrave,33.2,2,6,0.401,12,c,1
Montrave,33.2,2,6,0.401,80,c,1
Montrave,33.2,2,6,0.401,15,r,1
Montrave,33.2,2,6,0.401,50,r,1
Montrave,33.2,2,6,0.401,20,r,1
Montrave,33.2,2,6,0.401,65,r,1
Montrave,33.2,2,6,0.401,20,w,1
Montrave,33.2,2,6,0.401,30,w,1
Montrave,33.2,2,6,0.401,40,w,1
Montrave,33.2,2,6,0.401,25,w,1
Montrave,33.2,2,6,0.401,45,w,1
Montrave,33.2,2,6,0.401,60,w,1
Montrave,33.2,2,6,0.401,25,c,2
Montrave,33.2,2,6,0.401,11,c,2
Montrave,33.2,2,6,0.401,38,c,2
Montrave,33.2,2,6,0.401,42,g,2
Montrave,33.2,2,6,0.401,35,r,2
Montrave,33.2,2,6,0.401,70,r,2
Montrave,33.2,2,6,0.401,15,r,2
Montrave,33.2,2,6,0.401,25,w,2
Montrave,33.2,2,6,0.401,35,w,2
Montrave,33.2,2,6,0.401,25,w,2
Montrave,33.2,2,6,0.401,10,w,2
Montrave,33.2,2,6,0.401,2,w,2
Montrave,33.2,2,6,0.401,35,w,2
Montrave,33.2,2,7,0.393,33,c,1
Montrave,33.2,2,7,0.393,23,c,1
Montrave,33.2,2,7,0.393,85,g,1
Montrave,33.2,2,7,0.393,45,g,1
Montrave,33.2,2,7,0.393,85,r,1
Montrave,33.2,2,7,0.393,15,r,1
Montrave,33.2,2,7,0.393,27,w,1
Montrave,33.2,2,7,0.393,35,w,1
Montrave,33.2,2,7,0.393,65,w,1
Montrave,33.2,2,7,0.393,45,w,1
Montrave,33.2,2,7,0.393,80,w,1
Montrave,33.2,2,7,0.393,30,w,1
Montrave,33.2,2,7,0.393,50,c,2
Montrave,33.2,2,7,0.393,15,c,2
Montrave,33.2,2,7,0.393,25,c,2
Montrave,33.2,2,7,0.393,65,g,2
Montrave,33.2,2,7,0.393,60,r,2
Montrave,33.2,2,7,0.393,50,r,2
Montrave,33.2,2,7,0.393,30,r,2
Montrave,33.2,2,7,0.393,25,w,2
Montrave,33.2,2,7,0.393,70,w,2
Montrave,33.2,2,7,0.393,30,w,2
Montrave,33.2,2,7,0.393,55,w,2
Montrave,33.2,2,7,0.393,60,w,2
Montrave,33.2,2,7,0.393,40,w,2
Montrave,33.2,2,7,0.393,75,w,2
Montrave,33.2,2,8,0.405,60,g,1
Montrave,33.2,2,8,0.405,26,g,1
Montrave,33.2,2,8,0.405,55,r,1
Montrave,33.2,2,8,0.405,27,r,1
Montrave,33.2,2,8,0.405,75,r,1
Montrave,33.2,2,8,0.405,70,w,1
Montrave,33.2,2,8,0.405,23,w,1
Montrave,33.2,2,8,0.405,55,w,1
Montrave,33.2,2,8,0.405,60,w,1
Montrave,33.2,2,8,0.405,75,w,1
Montrave,33.2,2,8,0.405,30,w,1
Montrave,33.2,2,8,0.405,65,w,1
Montrave,33.2,2,8,0.405,25,c,2
Montrave,33.2,2,8,0.405,100,r,2
Montrave,33.2,2,8,0.405,38,r,2
Montrave,33.2,2,8,0.405,23,r,2
Montrave,33.2,2,8,0.405,58,r,2
Montrave,33.2,2,8,0.405,45,w,2
Montrave,33.2,2,8,0.405,20,w,2
Montrave,33.2,2,8,0.405,55,w,2
Montrave,33.2,2,8,0.405,30,w,2
Montrave,33.2,2,9,0.385,65,c,1
Montrave,33.2,2,9,0.385,80,r,1
Montrave,33.2,2,9,0.385,45,w,1
Montrave,33.2,2,9,0.385,10,w,1
Montrave,33.2,2,9,0.385,75,w,1
Montrave,33.2,2,9,0.385,17,g,2
Montrave,33.2,2,9,0.385,15,r,2
Montrave,33.2,2,9,0.385,45,r,2
Montrave,33.2,2,9,0.385,30,w,2
Montrave,33.2,2,9,0.385,70,w,2
Montrave,33.2,2,9,0.385,35,w,2
Montrave,33.2,2,10,0.204,20,c,1
Montrave,33.2,2,10,0.204,26,g,1
Montrave,33.2,2,10,0.204,55,r,1
Montrave,33.2,2,10,0.204,55,w,1
Montrave,33.2,2,10,0.204,23,w,1
Montrave,33.2,2,10,0.204,5,c,2
Montrave,33.2,2,10,0.204,50,c,2
Montrave,33.2,2,10,0.204,85,w,2
Montrave,33.2,2,11,0.039,25,w,1
Montrave,33.2,2,11,0.039,30,c,2
Montrave,33.2,2,12,0.047,45,r,1
Montrave,33.2,2,12,0.047,90,w,1
Montrave,33.2,2,12,0.047,40,w,1
Montrave,33.2,2,12,0.047,50,r,2
Montrave,33.2,2,12,0.047,50,w,2
Montrave,33.2,2,12,0.047,90,w,2
Montrave,33.2,2,13,0.204,68,c,1
Montrave,33.2,2,13,0.204,65,g,1
Montrave,33.2,2,13,0.204,25,r,1
Montrave,33.2,2,13,0.204,45,r,1
Montrave,33.2,2,13,0.204,40,w,1
Montrave,33.2,2,13,0.204,0,w,1
Montrave,33.2,2,13,0.204,100,w,1
Montrave,33.2,2,13,0.204,45,w,1
Montrave,33.2,2,13,0.204,20,w,1
Montrave,33.2,2,13,0.204,30,c,2
Montrave,33.2,2,13,0.204,35,g,2
Montrave,33.2,2,13,0.204,38,r,2
Montrave,33.2,2,13,0.204,5,r,2
Montrave,33.2,2,13,0.204,45,r,2
Montrave,33.2,2,13,0.204,40,w,2
Montrave,33.2,2,13,0.204,20,w,2
Montrave,33.2,2,13,0.204,45,w,2
Montrave,33.2,2,13,0.204,45,w,2
Montrave,33.2,2,14,0.271,20,c,1
Montrave,33.2,2,14,0.271,45,r,1
Montrave,33.2,2,14,0.271,27,r,1
Montrave,33.2,2,14,0.271,5,r,1
Montrave,33.2,2,14,0.271,40,r,1
Montrave,33.2,2,14,0.271,80,w,1
Montrave,33.2,2,14,0.271,5,w,1
Montrave,33.2,2,14,0.271,35,w,1
Montrave,33.2,2,14,0.271,35,w,1
Montrave,33.2,2,14,0.271,10,w,1
Montrave,33.2,2,14,0.271,20,c,2
Montrave,33.2,2,14,0.271,10,r,2
Montrave,33.2,2,14,0.271,45,r,2
Montrave,33.2,2,14,0.271,50,w,2
Montrave,33.2,2,14,0.271,30,w,2
Montrave,33.2,2,14,0.271,20,w,2
Montrave,33.2,2,14,0.271,35,w,2
Montrave,33.2,2,14,0.271,60,w,2
Montrave,33.2,2,14,0.271,15,w,2
Montrave,33.2,2,14,0.271,10,w,2
Montrave,33.2,2,15,0.236,48,c,1
Montrave,33.2,2,15,0.236,80,c,1
Montrave,33.2,2,15,0.236,60,c,1
Montrave,33.2,2,15,0.236,20,g,1
Montrave,33.2,2,15,0.236,45,r,1
Montrave,33.2,2,15,0.236,25,r,1
Montrave,33.2,2,15,0.236,22,w,1
Montrave,33.2,2,15,0.236,15,w,1
Montrave,33.2,2,15,0.236,30,w,1
Montrave,33.2,2,15,0.236,40,w,1
Montrave,33.2,2,15,0.236,50,c,2
Montrave,33.2,2,15,0.236,6,g,2
Montrave,33.2,2,15,0.236,20,r,2
Montrave,33.2,2,15,0.236,5,r,2
Montrave,33.2,2,15,0.236,15,w,2
Montrave,33.2,2,15,0.236,35,w,2
Montrave,33.2,2,15,0.236,16,w,2
Montrave,33.2,2,15,0.236,15,w,2
Montrave,33.2,2,15,0.236,25,w,2
Montrave,33.2,2,16,0.189,10,c,1
Montrave,33.2,2,16,0.189,20,c,1
Montrave,33.2,2,16,0.189,60,w,1
Montrave,33.2,2,16,0.189,20,c,2
Montrave,33.2,2,16,0.189,35,w,2
Montrave,33.2,2,17,0.177,55,c,1
Montrave,33.2,2,17,0.177,10,c,1
Montrave,33.2,2,17,0.177,15,c,1
Montrave,33.2,2,17,0.177,45,g,1
Montrave,33.2,2,17,0.177,8,g,1
Montrave,33.2,2,17,0.177,35,r,1
Montrave,33.2,2,17,0.177,33,r,1
Montrave,33.2,2,17,0.177,25,r,1
Montrave,33.2,2,17,0.177,10,w,1
Montrave,33.2,2,17,0.177,55,w,1
Montrave,33.2,2,17,0.177,12,w,1
Montrave,33.2,2,17,0.177,15,c,2
Montrave,33.2,2,17,0.177,18,g,2
Montrave,33.2,2,17,0.177,15,r,2
Montrave,33.2,2,17,0.177,35,w,2
Montrave,33.2,2,17,0.177,30,w,2
Montrave,33.2,2,17,0.177,70,w,2
Montrave,33.2,2,17,0.177,25,w,2
Montrave,33.2,2,18,0.2,50,c,1
Montrave,33.2,2,18,0.2,80,c,1
Montrave,33.2,2,18,0.2,90,c,1
Montrave,33.2,2,18,0.2,25,r,1
Montrave,33.2,2,18,0.2,10,w,1
Montrave,33.2,2,18,0.2,60,w,1
Montrave,33.2,2,18,0.2,25,c,2
Montrave,33.2,2,18,0.2,30,c,2
Montrave,33.2,2,18,0.2,45,c,2
Montrave,33.2,2,18,0.2,80,c,2
Montrave,33.2,2,18,0.2,20,g,2
Montrave,33.2,2,18,0.2,10,r,2
Montrave,33.2,2,18,0.2,70,r,2
Montrave,33.2,2,18,0.2,10,w,2
Montrave,33.2,2,18,0.2,60,w,2
Montrave,33.2,2,18,0.2,40,w,2
Montrave,33.2,2,18,0.2,50,w,2
Montrave,33.2,2,19,0.02,29,g,1
Montrave,33.2,2,19,0.02,40,w,1
Montrave,33.2,2,19,0.02,80,w,1
Montrave,33.2,2,19,0.02,5,c,2
Montrave,33.2,2,19,0.02,25,w,2
